Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,1345.0,1435.0,1345.0,1410.0,1342.62646484375,1653304
2022-10-11,1403.0,1403.0,1375.5,1375.5,1309.7750244140625,1914130
2022-10-12,1383.0,1390.0,1366.0,1370.0,1304.537841796875,1223999
2022-10-13,1391.0,1394.0,1337.0,1376.0,1310.2509765625,2156486
2022-10-14,1385.5,1417.5,1372.5,1403.5,1336.43701171875,2342074
2022-10-17,1404.5,1443.5,1382.5,1425.0,1356.9097900390625,1148414
2022-10-18,1433.5,1465.5,1424.0,1448.0,1378.8106689453125,2491548
2022-10-19,1449.0,1460.5,1435.0,1441.5,1372.6212158203125,1268375
2022-10-20,1439.0,1459.5,1431.0,1457.5,1387.8568115234375,729566
2022-10-21,1441.0,1469.0,1432.5,1463.0,1393.093994140625,1113369
2022-10-24,1474.0,1499.0,1447.0,1487.0,1415.947265625,1051740
2022-10-25,1497.0,1504.0,1465.0,1504.0,1432.1348876953125,1310149
2022-10-26,1502.0,1523.5,1492.0,1514.0,1441.656982421875,1305580
2022-10-27,1510.0,1522.5,1491.5,1510.5,1438.32421875,980045
2022-10-28,1495.0,1495.0,1471.5,1485.0,1414.0428466796875,1234400
2022-10-31,1484.5,1495.0,1462.5,1462.5,1392.617919921875,1980451
2022-11-01,1470.0,1503.0,1467.0,1479.0,1408.3294677734375,1130634
2022-11-02,1483.0,1483.5,1440.5,1459.0,1389.28515625,1098934
2022-11-03,1438.0,1460.0,1425.0,1458.0,1388.3328857421875,1097285
2022-11-04,1470.5,1513.0,1463.0,1507.0,1434.991455078125,1011223
2022-11-07,1501.5,1543.0,1499.178955078125,1536.0,1462.6058349609375,839104
2022-11-08,1526.5,1543.0,1518.5,1540.5,1466.890869140625,1644112
2022-11-09,1532.5,1551.5,1525.5,1550.0,1475.9368896484375,1137711
2022-11-10,1534.0,1599.5,1528.5,1593.5,1517.3583984375,2155869
2022-11-11,1578.5,1604.0,1562.5,1582.0,1506.4078369140625,1398437
2022-11-14,1591.0,1598.0,1571.0,1571.5,1496.4095458984375,910224
2022-11-15,1585.5,1587.0,1550.5,1568.5,1493.5528564453125,796690
2022-11-16,1570.0,1579.0,1552.5,1562.5,1487.8397216796875,1450886
2022-11-17,1563.5,1573.5,1526.0,1544.0,1470.2236328125,656658
2022-11-18,1555.0,1579.5,1553.5,1575.0,1499.7423095703125,1074159
2022-11-21,1567.5,1568.5,1541.5,1552.5,1478.3175048828125,953386
2022-11-22,1552.5,1570.5,1547.5,1562.5,1487.8397216796875,680214
2022-11-23,1567.0,1572.0,1555.0,1566.5,1491.6485595703125,666896
2022-11-24,1572.0,1580.5,1558.5,1559.5,1484.9830322265625,484437
2022-11-25,1561.5,1571.5,1550.5,1571.5,1496.4095458984375,582587
2022-11-28,1560.5,1564.5,1551.0,1551.0,1476.88916015625,504404
2022-11-29,1560.5,1566.5,1541.5,1556.0,1481.6502685546875,988827
2022-11-30,1577.0,1579.5,1540.5,1543.0,1469.2713623046875,2140887
2022-12-01,1545.0,1571.0,1529.5,1543.0,1469.2713623046875,1200789
2022-12-02,1543.0,1571.5,1532.5,1557.5,1483.07861328125,964718
2022-12-05,1549.5,1560.0,1539.5,1541.0,1467.366943359375,1135531
2022-12-06,1494.5,1494.5,1456.0,1468.0,1397.8551025390625,2209661
2022-12-07,1455.5,1496.0,1455.5,1476.5,1405.948974609375,1357095
2022-12-08,1483.0,1494.0,1456.5,1462.0,1392.1417236328125,1410610
2022-12-09,1475.5,1501.5,1471.0,1487.5,1416.42333984375,1139322
2022-12-12,1493.5,1497.0,1445.489990234375,1452.0,1382.6195068359375,1978182
2022-12-13,1460.5,1487.5,1457.0,1468.0,1397.8551025390625,1759233
2022-12-14,1464.5,1475.0,1456.5,1468.5,1398.3311767578125,1309930
2022-12-15,1455.0,1470.0,1429.5,1437.0,1368.33642578125,1566932
2022-12-16,1438.5,1442.0,1409.0,1418.0,1350.2442626953125,2232968
